,date,team,goals,xg,pass_success_rate,possession,tot_duels_win_rate,sobotr,cornwsr,fkwsr,pen_conversion_rate,acc_cross_rate,succ_for_passes_rate,succ_back_passes_rate,succ_lat_passes_rate,succ_long_passes_rate,succ_fin_third_passes_rate,succ_prog_passes_rate,succ_smart_passes_rate,succ_throw_ins_rate,mean_shot_dist,mean_pass_len,ppda,passes_per_minute,goal_conversion_rate,touches_in_box_per_minute,recoveries_per_minute,shots_on_target_rate
53,10/25/23, Maryland College Park Terrapins,3,2.35,83.0,58.04,49.0,50.0,12.5,0.0,0,42.86,71.35,97.59,87.33,50.85,57.14,68.67,0.0,90.0,18.8,18.13,10.46,5.819148936170213,0.2,0.35106382978723405,1.1808510638297873,0.4666666666666667
54,10/21/23, Maryland College Park Terrapins,1,2.11,75.98,50.69,45.71,50.0,14.29,0.0,0,33.33,65.99,96.36,79.79,53.52,71.88,76.47,50.0,81.48,16.67,18.96,6.38,3.6907216494845363,0.09090909090909091,0.16494845360824742,1.0824742268041236,0.45454545454545453
55,10/15/23, Maryland College Park Terrapins,2,1.34,66.44,37.78,48.12,0.0,0.0,0.0,0,60.0,55.8,86.21,76.92,44.93,56.1,61.43,0.0,84.85,11.99,20.11,6.16,2.5575221238938055,0.2222222222222222,0.12389380530973451,1.0353982300884956,0.4444444444444444
56,10/11/23, Maryland College Park Terrapins,6,4.78,78.08,51.57,48.62,41.67,57.14,75.0,0,40.0,69.33,94.74,85.27,58.73,64.86,70.0,0.0,78.26,17.46,18.56,6.24,4.132075471698113,0.18181818181818182,0.29245283018867924,1.0566037735849056,0.42424242424242425
57,10/8/23, Maryland College Park Terrapins,1,1.42,74.32,48.2,43.8,20.0,75.0,0.0,0,29.41,62.76,91.04,77.78,54.12,59.76,73.91,0.0,81.82,17.76,23.16,8.27,3.5533980582524274,0.07142857142857142,0.22330097087378642,1.0097087378640777,0.35714285714285715
58,10/4/23, Maryland College Park Terrapins,1,3.82,78.73,55.33,53.33,20.0,16.67,20.0,0,50.0,64.94,92.86,86.55,62.5,76.32,72.63,0.0,86.21,18.0,20.3,4.81,3.798076923076923,0.038461538461538464,0.3076923076923077,1.0384615384615385,0.4230769230769231
59,9/30/23, Maryland College Park Terrapins,0,3.1,73.21,57.03,44.88,20.0,40.0,66.67,0,21.43,68.11,92.16,78.26,58.21,62.35,80.0,0.0,87.18,16.8,22.87,5.08,3.6296296296296298,0.0,0.3148148148148148,1.0092592592592593,0.30434782608695654
60,9/24/23, Maryland College Park Terrapins,0,1.37,76.92,47.01,45.12,33.33,50.0,50.0,0,23.53,71.6,88.33,82.69,54.43,59.7,79.49,100.0,93.33,18.57,19.11,5.07,4.070707070707071,0.0,0.12121212121212122,1.1414141414141414,0.14285714285714285
61,9/20/23, Maryland College Park Terrapins,0,0.38,82.73,66.26,45.0,25.0,33.33,0.0,0,50.0,71.43,95.83,89.8,60.0,66.29,77.78,50.0,90.7,19.36,20.6,8.13,5.262626262626263,0.0,0.18181818181818182,0.898989898989899,0.25
62,9/15/23, Maryland College Park Terrapins,2,0.82,87.15,60.65,41.86,12.5,80.0,66.67,0,30.0,75.68,97.94,91.43,64.86,68.35,75.49,0.0,90.63,21.35,19.67,4.5,5.2592592592592595,0.1,0.24074074074074073,0.9629629629629629,0.25
